Raw Data File,tracer molecule,labelled positions,abundance,Parameter Value[injection],Parameter Value[Replicate],Factor Value[Incubation time],Metabolite name,CHEBI identifier,atomic positions to the parent molecule/metabolite name,Empirical formula derivatized molecule/fragment,m/z monitored,signal intensity,isotopologue,isotologue abundance relative concentration
GlycHyp3_01.CDF,Glucose,"1,1,0,0,0,0",48,1,3,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,329,907901,Glyc_13C1,
GlycHyp3_01.CDF,Glucose,"1,1,0,0,0,0",48,1,3,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,330,3409599,Glyc_13C2,
GlycHyp3_01.CDF,Glucose,"1,1,0,0,0,0",48,1,3,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,331,468160,Glyc_13C3,
GlycHyp3_01.CDF,Glucose,"1,1,0,0,0,0",48,1,3,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,332,140652,Glyc_13C4,
GlycHyp3_01.CDF,Glucose,"1,1,0,0,0,0",48,1,3,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,333,17388,Glyc_13C5,
GlycHyp3_01.CDF,Glucose,"1,1,0,0,0,0",48,1,3,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,334,15014,Glyc_13C6,
GlycHyp3_02.CDF,Glucose,"1,1,0,0,0,0",48,2,3,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,327,3618,,
GlycHyp3_02.CDF,Glucose,"1,1,0,0,0,0",48,2,3,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,328,6209370,Glyc_13C0,
GlycHyp3_02.CDF,Glucose,"1,1,0,0,0,0",48,2,3,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,329,1011002,Glyc_13C1,
GlycHyp3_02.CDF,Glucose,"1,1,0,0,0,0",48,2,3,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,330,3814652,Glyc_13C2,
GlycHyp3_02.CDF,Glucose,"1,1,0,0,0,0",48,2,3,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,331,524055,Glyc_13C3,
GlycHyp3_02.CDF,Glucose,"1,1,0,0,0,0",48,2,3,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,332,158819,Glyc_13C4,
GlycHyp3_02.CDF,Glucose,"1,1,0,0,0,0",48,2,3,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,333,19339,Glyc_13C5,
GlycHyp3_02.CDF,Glucose,"1,1,0,0,0,0",48,2,3,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,334,16576,Glyc_13C6,
GlycHyp3_03.CDF,Glucose,"1,1,0,0,0,0",48,3,3,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,327,876,,
